GEO_ID,NAME,total_pop,white_pop,black_pop,asian_pop,DECENNIALPL2020.P2_data_with_overlays_2021-11-29T140643_NAME,hisp_pop,non_hisp_pop
id,Geographic Area Name, !!Total:, !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone, !!Total:!!Population of one race:!!Asian alone,Geographic Area Name, !!Total:!!Hispanic or Latino, !!Total:!!Not Hispanic or Latino:
1400000US42101000101,"Census Tract 1.01, Philadelphia County, Pennsylvania","2329","1829","107","201","Census Tract 1.01, Philadelphia County, Pennsylvania","130","2199"
1400000US42101000102,"Census Tract 1.02, Philadelphia County, Pennsylvania","3511","2760","146","290","Census Tract 1.02, Philadelphia County, Pennsylvania","208","3303"
1400000US42101000200,"Census Tract 2, Philadelphia County, Pennsylvania","3367","838","259","2072","Census Tract 2, Philadelphia County, Pennsylvania","125","3242"
1400000US42101000300,"Census Tract 3, Philadelphia County, Pennsylvania","4501","3176","318","647","Census Tract 3, Philadelphia County, Pennsylvania","279","4222"
1400000US42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania","3123","1781","257","796","Census Tract 4.01, Philadelphia County, Pennsylvania","167","2956"
1400000US42101000403,"Census Tract 4.03, Philadelphia County, Pennsylvania","1139","807","78","169","Census Tract 4.03, Philadelphia County, Pennsylvania","67","1072"
1400000US42101000404,"Census Tract 4.04, Philadelphia County, Pennsylvania","3822","3039","119","433","Census Tract 4.04, Philadelphia County, Pennsylvania","161","3661"
1400000US42101000500,"Census Tract 5, Philadelphia County, Pennsylvania","3614","1853","875","693","Census Tract 5, Philadelphia County, Pennsylvania","340","3274"
1400000US42101000600,"Census Tract 6, Philadelphia County, Pennsylvania","2317","1603","114","332","Census Tract 6, Philadelphia County, Pennsylvania","165","2152"
1400000US42101000701,"Census Tract 7.01, Philadelphia County, Pennsylvania","2722","1960","165","399","Census Tract 7.01, Philadelphia County, Pennsylvania","160","2562"
1400000US42101000702,"Census Tract 7.02, Philadelphia County, Pennsylvania","2012","1339","91","403","Census Tract 7.02, Philadelphia County, Pennsylvania","144","1868"
1400000US42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania","1748","1405","58","147","Census Tract 8.01, Philadelphia County, Pennsylvania","78","1670"
1400000US42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania","4463","3603","114","420","Census Tract 8.03, Philadelphia County, Pennsylvania","266","4197"
1400000US42101000805,"Census Tract 8.05, Philadelphia County, Pennsylvania","2587","1947","110","276","Census Tract 8.05, Philadelphia County, Pennsylvania","167","2420"
1400000US42101000806,"Census Tract 8.06, Philadelphia County, Pennsylvania","2702","2093","90","275","Census Tract 8.06, Philadelphia County, Pennsylvania","150","2552"
1400000US42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania","2409","1604","314","268","Census Tract 9.01, Philadelphia County, Pennsylvania","200","2209"
1400000US42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania","2842","1853","150","670","Census Tract 9.02, Philadelphia County, Pennsylvania","97","2745"
1400000US42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania","2993","2560","74","191","Census Tract 10.01, Philadelphia County, Pennsylvania","93","2900"
1400000US42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania","4651","3806","272","274","Census Tract 10.02, Philadelphia County, Pennsylvania","250","4401"
1400000US42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania","4297","2906","613","339","Census Tract 11.01, Philadelphia County, Pennsylvania","289","4008"
1400000US42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania","2800","2182","107","242","Census Tract 11.02, Philadelphia County, Pennsylvania","198","2602"
1400000US42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania","3953","3189","80","289","Census Tract 12.01, Philadelphia County, Pennsylvania","222","3731"
1400000US42101001203,"Census Tract 12.03, Philadelphia County, Pennsylvania","1827","1469","51","156","Census Tract 12.03, Philadelphia County, Pennsylvania","94","1733"
1400000US42101001204,"Census Tract 12.04, Philadelphia County, Pennsylvania","4014","3157","175","354","Census Tract 12.04, Philadelphia County, Pennsylvania","207","3807"
1400000US42101001301,"Census Tract 13.01, Philadelphia County, Pennsylvania","1671","1018","388","122","Census Tract 13.01, Philadelphia County, Pennsylvania","76","1595"
1400000US42101001302,"Census Tract 13.02, Philadelphia County, Pennsylvania","5102","3504","591","543","Census Tract 13.02, Philadelphia County, Pennsylvania","246","4856"
1400000US42101001400,"Census Tract 14, Philadelphia County, Pennsylvania","4736","3314","699","336","Census Tract 14, Philadelphia County, Pennsylvania","222","4514"
1400000US42101001500,"Census Tract 15, Philadelphia County, Pennsylvania","3338","2277","407","345","Census Tract 15, Philadelphia County, Pennsylvania","199","3139"
1400000US42101001600,"Census Tract 16, Philadelphia County, Pennsylvania","2665","2159","93","136","Census Tract 16, Philadelphia County, Pennsylvania","178","2487"
1400000US42101001700,"Census Tract 17, Philadelphia County, Pennsylvania","2997","2427","114","151","Census Tract 17, Philadelphia County, Pennsylvania","158","2839"
1400000US42101001800,"Census Tract 18, Philadelphia County, Pennsylvania","3476","2410","467","250","Census Tract 18, Philadelphia County, Pennsylvania","187","3289"
1400000US42101001900,"Census Tract 19, Philadelphia County, Pennsylvania","4083","2530","836","292","Census Tract 19, Philadelphia County, Pennsylvania","250","3833"
1400000US42101002000,"Census Tract 20, Philadelphia County, Pennsylvania","2537","921","1267","137","Census Tract 20, Philadelphia County, Pennsylvania","166","2371"
1400000US42101002100,"Census Tract 21, Philadelphia County, Pennsylvania","2462","1090","992","135","Census Tract 21, Philadelphia County, Pennsylvania","171","2291"
1400000US42101002200,"Census Tract 22, Philadelphia County, Pennsylvania","2750","1283","958","185","Census Tract 22, Philadelphia County, Pennsylvania","258","2492"
1400000US42101002300,"Census Tract 23, Philadelphia County, Pennsylvania","3043","2038","141","397","Census Tract 23, Philadelphia County, Pennsylvania","385","2658"
1400000US42101002400,"Census Tract 24, Philadelphia County, Pennsylvania","5624","3450","366","910","Census Tract 24, Philadelphia County, Pennsylvania","764","4860"
1400000US42101002500,"Census Tract 25, Philadelphia County, Pennsylvania","4393","2360","1087","406","Census Tract 25, Philadelphia County, Pennsylvania","399","3994"
1400000US42101002701,"Census Tract 27.01, Philadelphia County, Pennsylvania","4200","1910","518","801","Census Tract 27.01, Philadelphia County, Pennsylvania","858","3342"
1400000US42101002702,"Census Tract 27.02, Philadelphia County, Pennsylvania","4268","3545","126","211","Census Tract 27.02, Philadelphia County, Pennsylvania","237","4031"
1400000US42101002801,"Census Tract 28.01, Philadelphia County, Pennsylvania","4364","1727","208","1072","Census Tract 28.01, Philadelphia County, Pennsylvania","1285","3079"
1400000US42101002802,"Census Tract 28.02, Philadelphia County, Pennsylvania","5375","3703","81","797","Census Tract 28.02, Philadelphia County, Pennsylvania","748","4627"
