"GEO_ID","NAME","P2_001N","P2_002N","P2_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:"
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","2329","130","2199"
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","3511","208","3303"
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","3367","125","3242"
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","4501","279","4222"
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","3123","167","2956"
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","1139","67","1072"
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","3822","161","3661"
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","3614","340","3274"
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","2317","165","2152"
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","2722","160","2562"
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","2012","144","1868"
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","1748","78","1670"
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","4463","266","4197"
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","2587","167","2420"
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","2702","150","2552"
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","2409","200","2209"
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","2842","97","2745"
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","2993","93","2900"
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","4651","250","4401"
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","4297","289","4008"
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","2800","198","2602"
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","3953","222","3731"
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","1827","94","1733"
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","4014","207","3807"
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","1671","76","1595"
"1400000US42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","5102","246","4856"
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","4736","222","4514"
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","3338","199","3139"
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","2665","178","2487"
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","2997","158","2839"
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","3476","187","3289"
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","4083","250","3833"
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","2537","166","2371"
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","2462","171","2291"
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","2750","258","2492"
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","3043","385","2658"
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","5624","764","4860"
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","4393","399","3994"
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","4200","858","3342"
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","4268","237","4031"
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","4364","1285","3079"
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","5375","748","4627"
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","4351","316","4035"
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","4188","365","3823"
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","3529","399","3130"
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","5089","406","4683"
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","4511","388","4123"
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","6307","469","5838"
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","6571","435","6136"
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","6106","458","5648"
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","3678","278","3400"
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","3820","166","3654"
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","6219","526","5693"
"1400000US42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","5697","211","5486"
"1400000US42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania","4477","440","4037"
"1400000US42101004002","Census Tract 40.02, Philadelphia County, Pennsylvania","5359","502","4857"
"1400000US42101004101","Census Tract 41.01, Philadelphia County, Pennsylvania","7166","1982","5184"
"1400000US42101004103","Census Tract 41.03, Philadelphia County, Pennsylvania","4273","1209","3064"
"1400000US42101004104","Census Tract 41.04, Philadelphia County, Pennsylvania","4561","1007","3554"
"1400000US42101004201","Census Tract 42.01, Philadelphia County, Pennsylvania","5287","505","4782"
"1400000US42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania","5261","478","4783"
"1400000US42101005400","Census Tract 54, Philadelphia County, Pennsylvania","1191","51","1140"
"1400000US42101005500","Census Tract 55, Philadelphia County, Pennsylvania","5498","187","5311"
"1400000US42101005600","Census Tract 56, Philadelphia County, Pennsylvania","1061","68","993"
"1400000US42101006000","Census Tract 60, Philadelphia County, Pennsylvania","6607","197","6410"
"1400000US42101006100","Census Tract 61, Philadelphia County, Pennsylvania","3380","105","3275"
"1400000US42101006200","Census Tract 62, Philadelphia County, Pennsylvania","4498","210","4288"
"1400000US42101006300","Census Tract 63, Philadelphia County, Pennsylvania","4022","365","3657"
"1400000US42101006400","Census Tract 64, Philadelphia County, Pennsylvania","4549","148","4401"
"1400000US42101006500","Census Tract 65, Philadelphia County, Pennsylvania","4663","129","4534"
"1400000US42101006600","Census Tract 66, Philadelphia County, Pennsylvania","3592","270","3322"
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","7450","263","7187"
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","3892","140","3752"
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","2437","68","2369"
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","4674","147","4527"
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","4502","121","4381"
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","3207","153","3054"
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","4225","176","4049"
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","2302","139","2163"
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","4358","339","4019"
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","4722","321","4401"
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","3942","183","3759"
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","2715","116","2599"
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","5034","143","4891"
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","6935","165","6770"
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","4310","123","4187"
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","4998","209","4789"
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","4611","175","4436"
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","6773","239","6534"
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","3212","243","2969"
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","3452","222","3230"
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","4347","314","4033"
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","3441","216","3225"
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","1600","136","1464"
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","6580","588","5992"
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","7694","562","7132"
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","3934","220","3714"
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","3974","249","3725"
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","4261","173","4088"
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","3766","115","3651"
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","3289","72","3217"
